"COM","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"01267","0","MORNAY","Mornay","Mornay","1943-01-01","1973-03-01"
"01267","0","NURIEUX VOLOGNAT","Nurieux-Volognat","Nurieux-Volognat","1973-03-01",""
"01268","0","MURS ET GELIGNIEUX","Murs-et-Gélignieux","Murs-et-Gélignieux","1943-01-01",""
"01269","0","NANTUA","Nantua","Nantua","1943-01-01",""
"01270","0","NAPT","Napt","Napt","1943-01-01","1974-01-01"
"01271","0","NATTAGES","Nattages","Nattages","1943-01-01","2016-01-01"
"01272","0","NEUVILLE LES DAMES","Neuville-les-Dames","Neuville-les-Dames","1943-01-01",""
"01273","0","NEUVILLE SUR AIN","Neuville-sur-Ain","Neuville-sur-Ain","1943-01-01",""
"01274","4","NEYROLLES","Neyrolles","Les Neyrolles","1943-01-01",""
"01275","0","NEYRON","Neyron","Neyron","1943-01-01",""
"01276","0","NIEVROZ","Niévroz","Niévroz","1943-01-01",""
"01277","0","NIVOLLET MONTGRIFFON","Nivollet-Montgriffon","Nivollet-Montgriffon","1943-01-01",""
"01278","1","OCHIAZ","Ochiaz","Ochiaz","1943-01-01","1973-11-01"
"01279","1","ONCIEU","Oncieu","Oncieu","1943-01-01",""
"01280","1","ORDONNAZ","Ordonnaz","Ordonnaz","1943-01-01",""
"01281","1","ORNEX","Ornex","Ornex","1943-01-01",""
"01282","1","OUTRIAZ","Outriaz","Outriaz","1943-01-01",""
"01283","1","OYONNAX","Oyonnax","Oyonnax","1943-01-01",""
"01284","1","OZAN","Ozan","Ozan","1943-01-01",""
"01285","0","PARCIEUX","Parcieux","Parcieux","1943-01-01",""
"01286","0","PARVES","Parves","Parves","1943-01-01","2016-01-01"
"01286","0","PARVES ET NATTAGES","Parves et Nattages","Parves et Nattages","2016-01-01",""
"01287","0","PASSIN","Passin","Passin","1943-01-01","1973-01-01"
"01288","0","PERON","Péron","Péron","1943-01-01",""
"01289","0","PERONNAS","Péronnas","Péronnas","1943-01-01",""
"01290","0","PEROUGES","Pérouges","Pérouges","1943-01-01",""
"01291","0","PERREX","Perrex","Perrex","1943-01-01",""
"01292","2","PETIT ABERGEMENT","Petit-Abergement","Le Petit-Abergement","1943-01-01","2016-01-01"
"01293","0","PEYRIAT","Peyriat","Peyriat","1943-01-01",""
"01294","0","PEYRIEU","Peyrieu","Peyrieu","1943-01-01",""
"01295","0","PEYZIEUX","Peyzieux","Peyzieux","1943-01-01","1947-05-21"
"01295","0","PEYZIEUX SUR SAONE","Peyzieux-sur-Saône","Peyzieux-sur-Saône","1947-05-21",""
"01296","0","PIRAJOUX","Pirajoux","Pirajoux","1943-01-01",""
"01297","0","PIZAY","Pizay","Pizay","1943-01-01",""
"01298","0","PLAGNE","Plagne","Plagne","1943-01-01",""
"01299","2","PLANTAY","Plantay","Le Plantay","1943-01-01",""
"01300","2","POIZAT","Poizat","Le Poizat","1943-01-01","2016-01-01"
"01301","0","POLLIAT","Polliat","Polliat","1943-01-01",""
"01302","0","POLLIEU","Pollieu","Pollieu","1943-01-01",""
"01303","0","PONCIN","Poncin","Poncin","1943-01-01",""
"01304","0","PONT D AIN","Pont-d'Ain","Pont-d'Ain","1943-01-01",""
"01305","0","PONT DE VAUX","Pont-de-Vaux","Pont-de-Vaux","1943-01-01",""
"01306","0","PONT DE VEYLE","Pont-de-Veyle","Pont-de-Veyle","1943-01-01",""
"01307","0","PORT","Port","Port","1943-01-01",""
"01308","0","POUGNY","Pougny","Pougny","1943-01-01",""
"01309","0","POUILLAT","Pouillat","Pouillat","1943-01-01",""
